,met_id,img_name,haralick_0,haralick_1,haralick_2,haralick_3,haralick_4,haralick_5,haralick_6,haralick_7,haralick_8,haralick_9,haralick_10,haralick_11,haralick_12,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,lbp_10,lbp_11,area_0,area_1,area_2,phase_specific_0,phase_specific_1,phase_specific_2,phase_specific_3,phase_specific_4,phase_specific_5,phase_specific_6,phase_specific_7,phase_specific_8,phase_specific_9,phase_specific_10,phase_specific_11,phase_specific_12,phase_specific_13
0,DUM1178,DUM1178 M02 250X 30keV HC14 15mm Cemter LBE M02- 2.png,0.0008924071423361354,1287.909768403612,0.24960029895599775,858.1536803633941,0.10774013074518753,325.00139648607,2144.7049530499767,7.34933717373374,13.116848745396027,0.00034444180911367126,5.7977275970070945,-0.08606059256080023,0.4056615634723847,0.7263874211295186,0.09372765983899543,0.06995384328474187,0.018334473005315016,0.02350961986759084,0.008611646411587355,0.007683072762875704,0.003877474901314767,0.02330564448450564,0.008362990706493023,0.00731980231871445,0.008926351288347373,0.9896455244584518,0.002417477694424716,0.007936997847123579,172.0,40.52906976744186,85.7998229605685,580.628255658387,409.9159824306316,1.509758856650208,0.9909876568808303,34.0,673.1470588235294,719.9070255474147,563.8336253999829,422.9405191919133,1.2453240721997616,0.2421964867441536
1,DUM1178,DUM1178 006 500X 30keV HC14 15mm Left Mid 1 LBE 006.tif,0.001515437276965171,562.5162419996975,0.5895143258007489,685.1864829565731,0.13121735322835062,339.73541287105905,2178.22968982661,6.772251134428065,11.923566751452572,0.00036680973598151223,5.253390720838015,-0.0925536634303015,0.4799715058936834,0.7238284233181366,0.09332808775543265,0.06955289162481776,0.018398093078151396,0.024553933026312744,0.008942167503644904,0.007813982550739396,0.003931869199972229,0.024557404364629377,0.00878595727939645,0.00727245377334475,0.009034736525421768,0.9870314534505208,0.0004066975911458333,0.012561848958333333,85.0,23.51764705882353,81.65963964777733,747.055180419938,564.9796164109861,1.2807958177802803,0.5570723272589725,13.0,4749.538461538462,4883.039652564857,812.1867239153355,526.0912811720227,1.9537762013091942,1.1304532555597666
2,DUM1178,DUM1178 M02 250X 30keV HC14 15mm Cemter LBE M02- 9.png,0.0008903581311455663,1277.132753524758,0.2731549406151287,878.5422590852284,0.10757715225906901,351.32084166307743,2237.0362828161237,7.349207312858896,13.106870338537277,0.0003445887228867745,5.791770999481269,-0.0866942669859422,0.41601488537691445,0.7282846222153585,0.09500984517972279,0.06948187328674568,0.01847998146789699,0.022535809428207404,0.008464924134203312,0.007250685301725802,0.00366974248098529,0.02253773985560403,0.008410872167097795,0.0072622678661055555,0.00861163661634686,0.9889595725319602,0.0028728138316761365,0.008167613636363636,192.0,43.145833333333336,77.29704327660636,541.3618917891979,400.4157160004269,1.5397060679166383,0.9398256080931835,37.0,636.5405405405405,580.9092404616765,509.9663346347168,421.33035777199916,1.2421862631101703,0.19736765480190874
3,DUM1178,DUM1178 M03 250X 30keV HC14 15mm Right LBE M03- 13.png,0.18012540904622243,2273.54384919209,0.8490527761440789,7530.758358074831,0.5309266249571898,221.10626492781464,27849.489583107228,5.174876422379297,7.972666148843053,0.0011525248790215437,3.984795240330179,-0.2946917870406078,0.9460396798943524,0.7067969230997471,0.12294248985616901,0.06320700833018077,0.017787865975328422,0.02106653017928804,0.008081684728990958,0.007080282766243111,0.004035279020257991,0.02047681569011431,0.007529059201400479,0.006731646527360527,0.014264414624919331,0.4687884937633168,0.1572969610040838,0.3739145452325994,291.0,1558.6907216494844,20381.664699720634,505.3811032471794,305.54232072868,1.4065998037931344,0.7686378985084759,34.0,31712.176470588234,173584.85760089156,428.316787616495,425.36648234667166,1.282362691734102,0.4632963721963913
4,DUM1178,DUM1178 M02 250X 30keV HC14 15mm Cemter LBE M02- 3.png,0.0008776517772635536,1287.2492261176499,0.29062922665753044,907.32016958188,0.10774341458235741,334.534231252026,2342.031452209898,7.389027857384475,13.153385391992957,0.0003444576475497632,5.797287277021449,-0.08752836481619047,0.42975200534418023,0.7266899608703914,0.09340497399761888,0.06970809854921838,0.01883379029787366,0.02330325252752452,0.008543362509258865,0.007333408309127786,0.0037558994962402226,0.02331488670252578,0.008551118625926371,0.007397396271634718,0.009163851842659417,0.9877475391734729,0.003240411931818182,0.009012048894708807,206.0,45.359223300970875,87.65464607217073,619.1557450953252,391.38109807380766,1.4853611642794988,0.9203923532365856,33.0,787.4848484848485,761.5721029241091,608.2367591936245,401.8784366198647,1.2178212158652209,0.1852087505775642
5,DUM1178,DUM1178 M02 250X 30keV HC14 15mm Cemter LBE M02- 1.png,0.2681824066334502,659.5258932591446,0.9522353293743003,6903.828698938314,0.570343355575439,192.03967820324482,26955.788902494107,4.684881540737728,7.426160204841026,0.001305992090423815,3.680997003559945,-0.2957492632643603,0.9395140419215537,0.7214352978872222,0.09951976992720353,0.0701198426064497,0.0186777847678367,0.02295257483813238,0.008319038445758228,0.007369519261953977,0.004071600779934276,0.022987742215310313,0.00827214860952098,0.007424224070897432,0.00885045658978036,0.47504737160422594,0.0018029646439985795,0.5231496637517755,108.0,47.97222222222222,102.87582035434879,570.818308309972,212.99844509270767,1.4304459447329705,0.8861745305440005,10.0,150859.1,450834.7887320698,508.69357841587504,273.0963982441734,1.2404421856207766,0.16580793212159828
6,DUM1178,DUM1178 M03 250X 30keV HC14 15mm Right LBE M03- 18.png,0.0023740236882535256,1087.2632510463138,0.6624337896342768,1610.5482550993515,0.14439344085511815,307.5793808390319,5354.929769351058,7.334266368699109,12.788858302147817,0.00035379745885764935,5.673348160558344,-0.12132859773300556,0.7167811226596297,0.7241649598716544,0.09299352164406097,0.07020119143114253,0.018598297141135322,0.024146229238518325,0.008669025640608013,0.007616445495893512,0.004090200214180718,0.023730897808108737,0.008475611494093743,0.007651056448427645,0.009662563572176052,0.9419115239923651,0.002977544611150568,0.055110931396484375,330.0,26.01818181818182,52.09885390785863,617.5436713955286,433.3808352237701,1.513849151213295,0.9401291502311059,31.0,5126.354838709677,17383.23994736418,647.1428233303368,445.9912822973046,1.3570786692057824,0.38119391401480307
7,DUM1178,DUM1178 M02 250X 30keV HC14 15mm Cemter LBE M02- 10.png,0.0008935439407771356,1271.80108678664,0.24298317374080194,840.0015203071416,0.10755138661523615,353.2574288838708,2088.2049944419928,7.334730651459555,13.09114920195739,0.0003446595460249082,5.789002950603101,-0.08477184807564284,0.38262705971740224,0.7287261733527173,0.0938431519236776,0.07013315543284192,0.018585074097354243,0.02245093918348302,0.008506831301745713,0.007232349096293783,0.003954558250199559,0.02222342193651883,0.008350654208490635,0.007222708534981741,0.008770982681695658,0.991913535378196,0.0026089061390269885,0.005477558482776989,133.0,56.56390977443609,89.5413000340141,556.3704452302723,436.20000270477976,1.729127565300164,1.0949500992325474,26.0,607.5,722.8085846197456,493.44439118080976,455.4677389177305,1.2694982723050818,0.26492214803762776
8,DUM1178,DUM1178 M03 250X 30keV HC14 15mm Right LBE M03- 14.png,0.0009442187290729954,1125.9247505494047,0.2671437823641114,768.1829860997585,0.1095079465920506,344.37091981872067,1946.8071938496566,7.288841884240783,12.970929994360905,0.00034948186554942126,5.708709983924164,-0.08535921940603462,0.3918468974618496,0.7259333295956973,0.09448421589874358,0.07011160709970402,0.018862817803777975,0.023023193320200055,0.00849474443269452,0.0076093113534559925,0.0038317213167047195,0.023274517119983917,0.008347816672820878,0.007133729393864993,0.008892995992352024,0.9915625832297585,0.0017897865988991477,0.00664763017134233,191.0,27.020942408376964,40.12440837947602,611.8830479726956,363.207867738777,1.4026113777591689,0.7322649377610098,29.0,661.0,480.6617564753109,603.7943315325244,356.9552012100571,1.2335228726340743,0.21444449279554145
9,DUM1178,DUM1178 M03 250X 30keV HC14 15mm Right LBE M03- 6.png,0.0009484805222281469,1134.1010442188922,0.3193426893231385,833.0966772373554,0.10946746381735606,337.7104923406629,2198.28566473053,7.29165354088632,12.975526838245033,0.0003507268913282071,5.713251000761515,-0.0894935176116217,0.4561950158450444,0.7269951765176867,0.0930939859998523,0.07018341670456268,0.01850102805082341,0.02316126599891948,0.008403198034848786,0.007618070373868464,0.0039392420019978,0.02329924635518087,0.008609196876591146,0.007272147790565253,0.008924025295103057,0.9848872098055753,0.003025054931640625,0.01208773526278409,255.0,34.207843137254905,64.6875441631366,633.8944763293138,400.8947013211316,1.4699821801561774,0.8997837374464166,42.0,829.9047619047619,866.8508085380312,630.1963356441621,387.68537064051276,1.3660375167934926,0.34332937942513103
